HUNDERASSE,RASSETYP
"Alaskan Husky","I"
"Airedale Terrier","I"
"Akita Inu","I"
"Alano","I"
"Alaskan Malamute","I"
"Altdeutscher Hütehund","I"
"Altdeutscher Schäfer","I"
"American Bulldog","I"
"American Cocker Spaniel","K"
"American Pitbull Terrier","II"
"American Staffordshire Terrier","II"
"Anatolian Kangal","II"
"Anatolischer Hirtenhund","I"
"Appenzeller","I"
"Appenzeller Sennenhund","I"
"Australian Cattle Dog","I"
"Australian Shepherd","I"
"Australian Silky Terrier","K"
"Australian Terrier","K"
"Azawakh","I"
"Barbet","I"
"Barsoi","I"
"Basenji","K"
"Basset Hound","I"
"Basset Fauve de Bretagne","K"
"Petit Basset Griffon Vendéen","K"
"Bayerischer Gebirgsschweisshund","I"
"Beagle","K"
"Bearded Collie","I"
"Beauceron","I"
"Beauceron Berge de Beauce","I"
"Bedlington Terrier","K"
"Belgischer Schäferhund","I"
"Bergamasker","I"
"Berger de Beauce","I"
"Berger de Brie","I"
"Berger des Pyrenées","I"
"Berger Picard","I"
"Berner Sennenhund","I"
"Bernhardiner","I"
"Bichon","K"
"Bichon à poil frisé","K"
"Bichon frisé","K"
"Bichon Havanais","K"
"Bichon Löwenherz","K"
"Bichon maltais","K"
"American Pit Bull Terrier","II"
"Bluthund","I"
"Bobtail (Old English Shepdog)","I"
"Bologneser","K"
"Bolonka Zwetna","K"
"Bordeauxdogge","I"
"Border","I"
"Border Collie","I"
"Border Terrier","K"
"Boston Terrier","K"
"Bouvier","I"
"Boxer","I"
"Boxer Terrier","I"
"Braque","I"
"Breton","I"
"Bretonischer Spaniel","I"
"Briard","I"
"Bulgarischer","I"
"Bulgarischer Sennenhund","I"
"Bull Terrier","II"
"Bulldog","I"
"Bullmastiff","I"
"Bullterrier","II"
"Cairn Terrier","K"
"Cane Corso","I"
"Cattle Dog","I"
"Cavalier King Charles Spaniel","K"
"Chesapeake Bay Retriever","I"
"Chihuahua","K"
"Chinese Crested Powderpuff","K"
"Chinese Powder Puff","K"
"Chow Chow","I"
"Cirneco dell'Etna","I"
"Cocker Spaniel","K"
"Collie","I"
"Continental Bulldog","I"
"Corgie","K"
"Coton de Tulear","K"
"Curly Coated Retriever","I"
"Dachsbracke","K"
"Dachshund","K"
"Dalmatiner","I"
"Deerhound","I"
"Deutsche Dogge","I"
"Deutscher Boxer","I"
"Deutscher Jagdterrier","K"
"Deutsch Kurzhaar","I"
"Deutscher Langhaarschäfer","I"
"Deutsch Langhaar","I"
"Deutscher Pinscher","I"
"Deutscher Schäfer","I"
"Deutscher Vorstehhund","I"
"Deutscher Wachtelhund","I"
"Dobermann","I"
"Dogge","I"
"Dogo Argentino","I"
"Dürbächler","I"
"Elo","I"
"Englische Bulldogge","I"
"English Cocker Spaniel","K"
"English Setter","I"
"English Springer Spaniel","I"
"Entlebucher","I"
"Entlebucher Sennenhund","I"
"Epagneul","I"
"Epagneul Breton (Bretonischer Vorstehhund)","I"
"Eurasier","I"
"Field Spaniel","I"
"Fila Brasileiro","I"
"Flat Coated Retriever","I"
"Foxterrier","K"
"Französische Bulldogge","K"
"Fuchs Terrier","I"
"Galgo","I"
"Galgo Espanol","I"
"Golden Retriever","I"
"Gordon Setter","I"
"Gos d'Atura Català","I"
"Greyhound","I"
"Griffon","I"
"Groenendael","I"
"Grosspudel","I"
"Hannoverscher Schweisshund","I"
"Havaneser","K"
"Hirtenhund","I"
"Holländischer Schäfer","I"
"Hovawart","I"
"Husky","I"
"Spanischer Laufhund (Sabueso Espanol)","I"
"Irish Setter","I"
"Irish Soft Coated Wheaten Terrier","I"
"Irish Terrier","I"
"Irish Wolfhound","I"
"Italienische Bracke","I"
"Italienischer Laufhund (Segugio)","I"
"Italienisches Windspiel","K"
"Jack Russel Terrier","K"
"Jagdhund","I"
"Japan Chin","K"
"Jura Laufhund","I"
"Kanaan","I"
"Kanadischer Schäfer","I"
"Kangal","I"
"Katalanischer Hirtenhund","I"
"Katalanischer Schäferhund (Gos d'Atura Català)","I"
"Kaukasischer Schäfer","I"
"Kerry Blue Terrier","I"
"King Charles Spaniel","K"
"Deutscher Kleinspitz","K"
"Königspudel","I"
"Kooikerhondje","K"
"Kromfohrländer","I"
"Kurzhaar Dackel","K"
"Kuvasz","I"
"Labrador Retriever","I"
"Lagotto Romagnolo","I"
"Lakeland Terrier","K"
"Landseer","I"
"Langhaardackel","K"
"Langhaarschäfer","I"
"Schweizer Laufhund","I"
"Leonberger","I"
"Lhasa Apso","K"
"Löwchen","K"
"Luzerner Laufhund","I"
"Luzerner Niederlaufhund","K"
"Magyar Viszla","I"
"Malamut","I"
"Malinois","I"
"Malteser","K"
"Manchester Terrier","K"
"Maremmen-Abruzzen-Schäferhund","I"
"Maremmano","I"
"Mastiff","I"
"Mastino Napoletano","I"
"Minipudel","K"
"Mischling klein","K"
"Mittelpudel","K"
"Mittelschnauzer","I"
"Mops","K"
"Münsterländer","I"
"Neufundländer","I"
"Niederlaufhund","I"
"Norfolk Terrier","K"
"Norwich Terrier","K"
"Nova Scotia Duck Tolling Retriever","I"
"Old English  Sheepdog","I"
"Papillon","K"
"Parson Jack Russell Terrier","K"
"Parson Russell Terrier","K"
"Parson Terrier","K"
"Patterdale Terrier","K"
"Pekingese","K"
"Petit Basset Griffon Vendéen","K"
"Petit bleu de Gascogne","I"
"Phalène","K"
"Pinscher","K"
"Pit Bull Terrier","II"
"Podenco","I"
"Podenco Ibicenco","I"
"Pointer","I"
"Poitevin ","I"
"Grönlandhund","K"
"Polnischer Niederungshütehund","I"
"Pomeranian","K"
"Polski Owczarek Nizinny","I"
"Portugiesischer Hütehund","I"
"Portugiesischer Wasserhund","I"
"Powder Puff","K"
"Prager Rattler","K"
"Pudel","K"
"Puli","K"
"Puli (Ungarischer Hirtenhund)","I"
"Pyrenäenberghund","I"
"Ratero","K"
"Rauhaar Dackel","K"
"Rehpinscher","K"
"Retriever","I"
"Rhodesian Ridgeback","I"
"Riesenschnauzer","I"
"Rottweiler","I"
"Russischer schwarzer Terrier","I"
"Saarloos-Wolfshund","I"
"Saluki","I"
"Samojede","I"
"Schäfer","I"
"Schäfer","I"
"Schapendoes","I"
"Schipperke","K"
"Schnauzer","I"
"Schweizer Niederlaufhund","K"
"Schweizer Sennenhund","I"
"Scottish Terrier","K"
"Segugio italiano","I"
"Sennenhund","I"
"Shar Pei","I"
"Sheltie","K"
"Shetland Sheepdog","K"
"Shiba Inu","K"
"Shih Tzu","K"
"Sibirischer Husky","I"
"Silky Terrier","K"
"Skye Terrier","K"
"Sloughi","I"
"Soft Coated Wheaten Terrier","I"
"Spaniel","K"
"Spanischer Wasserhund","I"
"Spanischer Windhund","I"
"Spinone","I"
"Spitz","K"
"English Staffordshire Terrier","II"
"Staffordshire Bullterrier","II"
"Teckel","K"
"Terrier","K"
"Tervueren","I"
"Thai Ridgeback","I"
"Tibet Terrier","K"
"Toy Pudel","K"
"Toypudel","K"
"Toyterrier","K"
"Trüffelhund","I"
"Tschechoslowakischer Wolfshund","I"
"Västgötaspets (Westgotenspitz)","K"
"Vizsla","I"
"Volpino Italiano","K"
"Vorstehhund","I"
"Wasserhund","I"
"Weimaraner","I"
"Welsh Corgi","K"
"Welsh Corgi Cardigan","K"
"Welsh Corgi Pembroke","K"
"Welsh Springer Spaniel","I"
"Welsh Terrier","K"
"West Highland White Terrier","K"
"Westgotenspitz","K"
"Whippet","I"
"Windhund","I"
"Windspiel","I"
"Wolfspitz","K"
"Yorkshire Terrier","K"
"Zwergdachshund","K"
"Zwergdackel","K"
"Zwergpinscher","K"
"Zwergpudel","K"
"Zwergrauhaardackel","K"
"Zwergschnauzer","K"
"Zwergspitz","K"
"Danish-Swedish Farmdog","K"
"Red Heeler","I"
"Mittelspitz","K"
"Tibetan Spaniel","K"
"Setter","I"
"Toller","I"
"Chinese Crested Hairless Dog","K"
"Afghanischer Windhund","I"
