ID,GEBURTSJAHR_HUND,GESCHLECHT_HUND,HALTER_ID,HUNDEFARBE,RASSE1,RASSE1_MISCHLING,RASSE2,RASSE2_MISCHLING,RASSENTYP
1,2019,m,155048,grau/braun,Mischling gross,,,,I
2,2011,w,119231,golden,Golden Retriever,,,,I
3,2014,m,146137,schwarz/weiss,Dalmatiner,,,,I
4,2012,m,83856,zobel,Tibet Terrier,,,,K
5,2013,w,118377,grau,Deutscher Schäfer,,,,I
6,2019,m,152392,weiss/braun/schwarz,Siberian Husky,,Alaskan Malamute,,I
7,2020,w,154810,fawn,Labrador Retriever,,,,I
8,2010,m,124786,schwarz/braun,Mischling klein,,,,K
9,2005,w,81018,braun,Tervueren,,,,I
10,2019,w,151617,hellbraun,Mischling gross,,,,I
11,2013,w,156469,weiss,Bichon Havanais,,,,K
12,2013,m,121595,rotbraun/weiss,Border Collie,,,,I
13,2009,w,137188,beige,Chihuahua,,,,K
14,2018,m,144292,weiss/braun,Jack Russel Terrier,,,,K
15,2020,w,152626,rot,Dachshund,,,,K
16,2020,m,81648,rot/braun/weiss,Bolonka Zwetna,,,,K
17,2016,m,131076,tricolor,Parson Russell Terrier,,,,K
18,2012,w,112386,schwarz,Chihuahua,,,,K
19,2019,w,149938,schwarz,Labrador Retriever,,,,I
20,2010,w,142830,tricolor,Beagle,,,,K
21,2007,m,89778,gestromt,Berger des Pyrenées,,,,I
22,2016,m,131517,weiss/braun,Cavalier King Charles Spaniel,,,,K
23,2016,m,136205,rot/braun,Podenco Ibicenco,,,,I
24,2015,m,138923,tricolor,Jack Russel Terrier,,,,K
25,2016,m,147310,schwarz/braun,Deutscher Schäfer,,,,I
26,2009,w,98258,black/tan,Chihuahua,,,,K
27,2006,m,148600,weizen,Irish Soft Coated Wheaten Terrier,,,,I
28,2020,w,155584,blue/tan,Yorkshire Terrier,,,,K
29,2013,w,138034,schwarz,Flat Coated Retriever,,,,I
30,2011,w,124673,braun,Dachshund,,,,K
31,2006,m,115931,braun,Labrador Retriever,,,,I
32,2007,w,135865,weiss/braun,Jack Russel Terrier,,,,K
33,2020,m,155514,weiss,Malteser,,Bichon Havanais,,K
34,2018,w,143229,apricot,Labrador,,Pudel,,I
35,2009,m,101329,schwarz/weiss,Mischling klein,,,,K
36,2020,w,107170,hellbraun,Golden Retriever,,Pudel,,I
37,2017,m,129914,schwarz,Mischling gross,,,,I
38,2011,m,132210,blondfarben,Labrador Retriever,,Beagle,,I
39,2020,m,155315,schwarz,Mischling klein,,,,K
40,2017,m,86990,schwarz,Labrador Retriever,,,,I
41,2007,w,90059,rot/weiss,Nova Scotia Duck Tolling Retriever,,,,I
42,2017,w,81001,gestromt,Boxer,,,,I
43,2016,w,109760,schwarz/weiss/braun,Husky,Mischling,,,I
44,2017,m,83335,braun/beige,English Cocker Spaniel,,,,K
45,2019,m,155429,orange,Lagotto Romagnolo,,,,I
46,2009,m,147623,rot/weiss,Australian Shepherd,,,,I
47,2016,w,141315,schwarz/weiss,Labrador Retriever,,,,I
48,2018,w,103617,weiss,Mischling klein,,,,K
49,2013,m,117214,schwarz,Flat Coated Retriever,,,,I
50,2006,w,99898,tricolor,Terrier,Mischling,,,K
51,2012,w,148963,gestromt,Boxer,,,,I
52,2013,w,118236,grau/weiss,Bobtail (Old English Shepdog),,,,I
53,2017,m,82262,weiss/schwarz,Deutscher Kleinspitz,,,,K
54,2007,w,89705,tricolor,Shetland Sheepdog,,,,K
55,2014,w,124790,braun/schwarz,Mischling gross,,,,I
56,2011,w,132701,braun,Mischling klein,,,,K
57,2005,m,88956,schwarz/braun,Jack Russel Terrier,,,,K
58,2004,m,83455,braun,Mischling gross,,,,I
59,2014,m,124665,braun/weiss,Mischling klein,,,,K
60,2013,w,85003,tricolor,Beagle,,,,K
61,2015,w,128528,weiss/schwarz,Französische Bulldogge,,,,K
62,2014,w,140613,braun,Mischling gross,,,,I
63,2014,w,133676,schwarz,Schäfer,Mischling,,,I
64,2017,w,145523,blau,Italienisches Windspiel,,,,K
65,2014,w,88998,creme,Golden Retriever,,Pudel,,I
66,2016,w,148355,tricolor,Mischling gross,,,,I
67,2020,m,90594,black/tan,Cavalier King Charles Spaniel,,,,K
68,2016,w,138025,schwarz/weiss/braun,Mischling gross,,,,I
69,2017,w,86310,choco,Cocker Spaniel,,,,K
70,2015,w,127875,schwarz,Labrador Retriever,,,,I
71,2020,w,108336,schwarz/rot,Deutscher Pinscher,,,,I
72,2020,m,155453,braun/schwarz,Malinois,,,,I
73,2012,w,80999,weiss,West Highland White Terrier,,,,K
74,2008,m,87738,braun/schwarz,Chihuahua,,,,K
75,2014,w,80917,weiss/braun,Mischling gross,,,,I
76,2007,w,87015,schwarz/weiss,Border Collie,,Bergamasker,,I
77,2013,m,135927,schwarz,Cocker Spaniel,,,,K
78,2012,w,154493,grau,Mischling klein,,,,K
79,2014,m,84946,mahagoni,Irish Setter,,,,I
80,2013,m,150706,schwarz/braun,Mischling gross,,,,I
81,2012,w,114004,schwarz,Border Collie,,Golden Retriever,,I
82,2020,m,156232,braun,Chesapeake Bay Retriever,,,,I
83,2006,w,84878,saufarben,Dachshund,,,,K
84,2007,w,124649,saufarben,Dachshund,,,,K
