ID,ALTER,GESCHLECHT,HALTER_ID,STADTKREIS,STADTQUARTIER
1,41-50,w,155048,10,101
2,71-80,w,119231,10,101
3,41-50,w,146137,10,101
4,61-70,w,83856,10,101
5,31-40,m,118377,10,101
6,31-40,w,152392,10,101
7,61-70,m,154810,10,101
8,51-60,m,124786,10,101
9,91-100,w,81018,10,101
10,31-40,w,151617,10,101
11,21-30,w,156469,10,101
12,31-40,w,121595,10,101
13,21-30,m,137188,10,101
14,41-50,w,144292,10,101
15,31-40,w,152626,10,101
16,41-50,w,81648,10,101
17,61-70,m,131076,10,101
18,41-50,w,112386,10,101
19,31-40,w,149938,10,101
20,31-40,w,142830,10,101
21,41-50,w,89778,10,101
22,31-40,w,131517,10,101
23,41-50,m,136205,10,101
24,41-50,w,138923,10,101
25,41-50,m,147310,10,101
26,41-50,w,98258,10,101
27,51-60,m,148600,10,101
28,31-40,w,155584,10,101
29,71-80,w,138034,10,101
30,41-50,m,124673,10,101
31,51-60,w,115931,10,101
32,41-50,w,135865,10,101
33,71-80,w,155514,10,101
34,41-50,w,143229,10,101
35,31-40,w,101329,10,101
36,41-50,m,107170,10,101
37,21-30,w,129914,10,101
38,31-40,w,132210,10,101
39,41-50,w,155315,10,101
40,51-60,m,86990,10,101
41,51-60,m,90059,10,101
42,71-80,m,81001,10,101
43,41-50,w,109760,10,101
44,51-60,m,83335,10,101
45,21-30,m,155429,10,101
46,41-50,w,147623,10,101
47,31-40,w,141315,10,101
48,51-60,w,103617,10,101
49,81-90,m,117214,10,101
50,61-70,w,99898,10,101
51,51-60,w,148963,10,101
52,61-70,w,118236,10,101
53,91-100,m,82262,10,101
54,51-60,w,89705,10,101
55,51-60,w,124790,10,101
56,61-70,w,132701,10,101
57,61-70,m,88956,10,101
58,71-80,m,83455,10,101
59,31-40,m,124665,10,101
60,71-80,w,85003,10,101
61,41-50,w,128528,10,101
62,51-60,m,140613,10,101
63,31-40,w,133676,10,101
64,31-40,w,145523,10,101
65,51-60,w,88998,10,101
66,21-30,w,148355,10,101
67,31-40,m,90594,10,101
68,31-40,w,138025,10,101
69,41-50,w,86310,10,101
70,61-70,w,127875,10,101
71,51-60,w,108336,10,101
72,41-50,w,155453,10,101
73,61-70,w,80999,10,101
74,41-50,w,87738,10,101
75,41-50,w,80917,10,101
76,61-70,m,87015,10,101
77,51-60,m,135927,10,101
78,31-40,w,154493,10,101
79,51-60,m,84946,10,101
80,41-50,m,150706,10,101
81,61-70,w,114004,10,101
82,31-40,w,156232,10,101
83,71-80,w,84878,10,101
84,71-80,w,124649,10,101
85,41-50,w,84393,10,101
86,51-60,m,144137,10,101
